		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Resist Electric Res Down X	Electric Res Down resistance +50	3 Blue Electrical Tentacle	-	-	1 Enduron Lead																				
Resist Electric Res Down XV	Electric Res Down resistance +75	4 Blue Electrical Tentacle	-	-	1 Boiled-Egg Ore																				
Resist Electric Res Down XX	Electric Res Down resistance +100	5 Blue Electrical Tentacle	-	-	1 Marine Rutile																				
Resist Ether Res Down I	Ether Res Down resistance +5	1 Papil Straw	-	-	1 Arc Sand Ore																				
Resist Ether Res Down V	Ether Res Down resistance +25	2 Papil Straw	-	-	1 Lionbone Bort																				
Resist Ether Res Down X	Ether Res Down resistance +50	3 Papil Straw	-	-	1 Enduron Lead																				
Resist Ether Res Down XV	Ether Res Down resistance +75	4 Papil Straw	-	-	1 Boiled-Egg Ore																				
Resist Ether Res Down XX	Ether Res Down resistance +100	5 Papil Straw	-	-	1 Marine Rutile																				
Resist Gravity Res Down I	Gravity Res Down resistance +5	1 Lepyx Jaw Meat	-	-	1 Arc Sand Ore																				
Resist Gravity Res Down V	Gravity Res Down resistance +25	2 Lepyx Jaw Meat	-	-	1 Lionbone Bort																				
Resist Gravity Res Down X	Gravity Res Down resistance +50	3 Lepyx Jaw Meat	-	-	1 Enduron Lead																				
Resist Gravity Res Down XV	Gravity Res Down resistance +75	4 Lepyx Jaw Meat	-	-	1 Boiled-Egg Ore																				
Resist Gravity Res Down XX	Gravity Res Down resistance +100	5 Lepyx Jaw Meat	-	-	1 Marine Rutile																				
Resist Time Bomb I	Time Bomb resistance +5	1 Puge Counter	-	-	1 Arc Sand Ore																				
Resist Time Bomb V	Time Bomb resistance +25	2 Puge Counter	-	-	1 Lionbone Bort																				
Resist Time Bomb X	Time Bomb resistance +50	3 Puge Counter	-	-	1 Enduron Lead																				
Resist Time Bomb XV	Time Bomb resistance +75	4 Puge Counter	-	-	1 Boiled-Egg Ore																				
Resist Time Bomb XX	Time Bomb resistance +100	5 Puge Counter	-	-	1 Marine Rutile																				
Resist Debuff Res Down I	Debuff Res Down resistance +5	1 Forfex Miso	-	-	1 Arc Sand Ore																				
Resist Debuff Res Down V	Debuff Res Down resistance +25	2 Forfex Miso	-	-	1 Lionbone Bort																				
Resist Debuff Res Down X	Debuff Res Down resistance +50	3 Forfex Miso	-	-	1 Enduron Lead																				
Resist Debuff Res Down XV	Debuff Res Down resistance +75	4 Forfex Miso	-	-	1 Boiled-Egg Ore																				
Resist Debuff Res Down XX	Debuff Res Down resistance +100	5 Forfex Miso	-	-	1 Marine Rutile																				
Resist HP Recovery Down I	HP Recovery Down resistance +5	1 Succulent Meat	-	-	1 Arc Sand Ore																				
Resist HP Recovery Down V	HP Recovery Down resistance +25	2 Succulent Meat	-	-	1 Lionbone Bort																				
Resist HP Recovery Down X	HP Recovery Down resistance +50	3 Succulent Meat	-	-	1 Enduron Lead																				
Resist HP Recovery Down XV	HP Recovery Down resistance +75	4 Succulent Meat	-	-	1 Boiled-Egg Ore																				
Resist HP Recovery Down XX	HP Recovery Down resistance +100	5 Succulent Meat	-	-	1 Marine Rutile																				
Resist Blaze I	Blaze resistance +5	1 Vesper Fry	-	-	1 Arc Sand Ore																				
Resist Blaze V	Blaze resistance +25	2 Vesper Fry	-	-	1 Lionbone Bort																				
Resist Blaze X	Blaze resistance +50	3 Vesper Fry	-	-	1 Enduron Lead																				
Resist Blaze XV	Blaze resistance +75	4 Vesper Fry	-	-	1 Boiled-Egg Ore																				
Resist Blaze XX	Blaze resistance +100	5 Vesper Fry	-	-	1 Marine Rutile																				
Resist Shock I	Shock resistance +5	1 Fine Black Belt	-	-	1 Arc Sand Ore																				
Resist Shock V	Shock resistance +25	2 Fine Black Belt	-	-	1 Lionbone Bort																				
Resist Shock X	Shock resistance +50	3 Fine Black Belt	-	-	1 Enduron Lead																				
Resist Shock XV	Shock resistance +75	4 Fine Black Belt	-	-	1 Boiled-Egg Ore																				
Resist Shock XX	Shock resistance +100	5 Fine Black Belt	-	-	1 Marine Rutile																				
Debuff Suppressor I	Debuff duration reduced 5%	1 Standard Jammer	1 Purgovent Jaw Meat	1 Red Blatta Wing	1 White Cometite																				
Debuff Suppressor V	Debuff duration reduced 9%	2 Standard Jammer	2 Purgovent Jaw Meat	2 Red Blatta Wing	1 Dawnstone																				
Debuff Suppressor X	Debuff duration reduced 14%	3 Standard Jammer	3 Rugged Skin	3 Quality Core	1 Everfreeze Ore																				
Debuff Suppressor XV	Debuff duration reduced 20%	4 Standard Jammer	4 Rugged Skin	4 Quality Core	1 Foucaultium																				
Debuff Suppressor XX	Debuff duration reduced 25%	5 Standard Jammer	5 Rugged Skin	5 Quality Core	1 Bonjelium																				
HP Rebound I	Rarely gain 25 HP when hit	1 Honey Oil	1 Large Purgovent Liver	1 Hulking Incisor	1 White Cometite																				
HP Rebound V	Rarely gain 125 HP when hit	2 Honey Oil	2 Large Purgovent Liver	2 Hulking Incisor	1 Dawnstone																				
HP Rebound X	Rarely gain 250 HP when hit	8 Honey Oil	8 Unafulge Death Toxin	8 Rich Scintimure Meat	2 Everfreeze Ore																				
HP Rebound XV	Rarely gain 375 HP when hit	16 Honey Oil	16 Unafulge Death Toxin	16 Rich Scintimure Meat	4 Foucaultium																				
HP Rebound XX	Rarely gain 500 HP when hit	32 Honey Oil	32 Unafulge Death Toxin	32 Rich Scintimure Meat	8 Bonjelium																				
TP Rebound I	Rarely gain 100 TP when hit	1 Topaz Wine	1 Glowing Retina	1 Terebra Water Grease	1 White Cometite																				
TP Rebound V	Rarely gain 200 TP when hit	2 Topaz Wine	2 Glowing Retina	2 Terebra Water Grease	1 Dawnstone																				
TP Rebound X	Rarely gain 325 TP when hit	8 Topaz Wine	8 Silver Petramand Silk	8 Big Balaena Sand Bag	2 Everfreeze Ore																				
TP Rebound XV	Rarely gain 450 TP when hit	16 Topaz Wine	16 Silver Petramand Silk	16 Big Balaena Sand Bag	4 Foucaultium																				
TP Rebound XX	Rarely gain 750 TP when hit	32 Topaz Wine	32 Silver Petramand Silk	32 Big Balaena Sand Bag	8 Bonjelium																				
Taunt: Barrier I	Very rarely granted Barrier I when Taunted	1 Small Shell	-	-	1 Arc Sand Ore																				
Taunt: Barrier V	Very likely granted Barrier I when Taunted	2 Small Shell	-	-	1 Lionbone Bort																				
Taunt: Barrier X	Very likely granted Barrier II when Taunted	3 Small Shell	-	-	1 Enduron Lead																				
Taunt: Barrier XV	Very likely granted Barrier III when Taunted	4 Small Shell	-	-	1 Boiled-Egg Ore																				
Taunt: Barrier XX	Very likely granted Barrier IV when Taunted	5 Small Shell	-	-	1 Marine Rutile																				
Taunt: Decoy I	Very rarely granted Decoy I when Taunted	1 Black Fog Deposits	-	-	1 Arc Sand Ore																				
Taunt: Decoy V	Very likely granted Decoy I when Taunted	2 Black Fog Deposits	-	-	1 Lionbone Bort																				
Taunt: Decoy X	Very likely granted Decoy II when Taunted	3 Black Fog Deposits	-	-	1 Enduron Lead																				
Taunt: Decoy XV	Very likely granted Decoy III when Taunted	4 Black Fog Deposits	-	-	1 Boiled-Egg Ore																				
Taunt: Decoy XX	Very likely granted Decoy IV when Taunted	5 Black Fog Deposits	-	-	1 Marine Rutile																				
Taunt: Supercharge I	20% granted Supercharge I when Taunted	1 Tatty Insect Wing	-	-	1 Arc Sand Ore																				
Taunt: Supercharge V	100% granted Supercharge I when Taunted	2 Tatty Insect Wing	-	-	1 Lionbone Bort																				
Taunt: Supercharge X	100% granted Supercharge II when Taunted	3 Tatty Insect Wing	-	-	1 Enduron Lead																				
Taunt: Supercharge XV	100% granted Supercharge III when Taunted	4 Tatty Insect Wing	-	-	1 Boiled-Egg Ore																				
Taunt: Supercharge XX	100% granted Supercharge IV when Taunted	5 Tatty Insect Wing	-	-	1 Marine Rutile																				
Topple: Barrier I	20% granted Barrier I when Toppled	1 Small Shell	-	-	1 Arc Sand Ore																				
Topple: Barrier V	100% granted Barrier I when Toppled	2 Small Shell	-	-	1 Lionbone Bort																				
Topple: Barrier X	100% granted Barrier II when Toppled	3 Small Shell	-	-	1 Enduron Lead																				
Topple: Barrier XV	100% granted Barrier III when Toppled	4 Small Shell	-	-	1 Boiled-Egg Ore																				
Topple: Barrier XX	100% granted Barrier IV when Toppled	5 Small Shell	-	-	1 Marine Rutile																				
Topple: Decoy I	20% granted Decoy I when Toppled	1 Black Fog Deposits	-	-	1 Arc Sand Ore																				
Topple: Decoy V	100% granted Decoy I when Toppled	2 Black Fog Deposits	-	-	1 Lionbone Bort																				
Topple: Decoy X	100% granted Decoy II when Toppled	3 Black Fog Deposits	-	-	1 Enduron Lead																				
Topple: Decoy XV	100% granted Decoy III when Toppled	4 Black Fog Deposits	-	-	1 Boiled-Egg Ore																				
Topple: Decoy XX	100% granted Decoy IV when Toppled	5 Black Fog Deposits	-	-	1 Marine Rutile																				
Stun: Barrier I	20% granted Barrier I when Stunned	1 Small Shell	-	-	1 Arc Sand Ore																				
Stun: Barrier V	100% granted Barrier I when Stunned	2 Small Shell	-	-	1 Lionbone Bort																				
Stun: Barrier X	100% granted Barrier II when Stunned	3 Small Shell	-	-	1 Enduron Lead																				
Stun: Barrier XV	100% granted Barrier III when Stunned	4 Small Shell	-	-	1 Boiled-Egg Ore																				
Stun: Barrier XX	100% granted Barrier IV when Stunned	5 Small Shell	-	-	1 Marine Rutile																				
Stun: Decoy I	20% granted Decoy I when Stunned	1 Black Fog Deposits	-	-	1 Arc Sand Ore																				
Stun: Decoy V	100% granted Decoy I when Stunned	2 Black Fog Deposits	-	-	1 Lionbone Bort																				
Stun: Decoy X	100% granted Decoy II when Stunned	3 Black Fog Deposits	-	-	1 Enduron Lead																				
Stun: Decoy XV	100% granted Decoy III when Stunned	4 Black Fog Deposits	-	-	1 Boiled-Egg Ore																				
Stun: Decoy XX	100% granted Decoy IV when Stunned	5 Black Fog Deposits	-	-	1 Marine Rutile																				
Reflect Damage Up I	Reflected damage +5%	1 Green Crystal	1 Diamond Seed	1 Cimmerian Pom Pom	1 White Cometite																				
Reflect Damage Up V	Reflected damage +25%	2 Odorous Tentacle	2 Iron Lump	2 Pristine Dorsal Fin	1 Dawnstone																				
Reflect Damage Up X	Reflected damage +50%	1 Yggralith Horn	3 Cloudy Gerrid Soup	3 Sabula Backbone	1 Everfreeze Ore																				
Reflect Damage Up XV	Reflected damage +75%	1 Yggralith Horn	4 Cloudy Gerrid Soup	4 Sabula Backbone	1 Foucaultium																				
Reflect Damage Up XX	Reflected damage +100%	1 Yggralith Horn	5 Cloudy Gerrid Soup	5 Sabula Backbone	1 Bonjelium																				
Overdrive: Recover HP I	Recover 10% HP when Overdrive activated	1 Black Turba Nectar	1 Shimmering Silk	1 Scirpo Silk	1 White Cometite																				
Overdrive: Recover HP V	Recover 14% HP when Overdrive activated	2 Black Turba Nectar	2 Shimmering Silk	2 Scirpo Silk	1 Dawnstone																				
Overdrive: Recover HP X	Recover 19% HP when Overdrive activated	3 Black Turba Nectar	3 Tasty Fish Belly	3 Black Sylooth Brace	2 Everfreeze Ore																				
Overdrive: Recover HP XV	Recover 24% HP when Overdrive activated	5 Black Turba Nectar	5 Tasty Fish Belly	5 Black Sylooth Brace	4 Foucaultium																				
Overdrive: Recover HP XX	Recover 30% HP when Overdrive activated	8 Black Turba Nectar	8 Tasty Fish Belly	8 Black Sylooth Brace	8 Bonjelium																				
Overdrive: Gain TP I	Gain 25 TP when Overdrive activated	1 Flowering Germivore Scales	1 Red Mortifole Feather	1 Sharp Ear	1 White Cometite																				
Overdrive: Gain TP V	Gain 125 TP when Overdrive activated	2 Flowering Germivore Scales	2 Red Mortifole Feather	2 Sharp Ear	1 Dawnstone																				
Overdrive: Gain TP X	Gain 250 TP when Overdrive activated	4 Flowering Germivore Scales	4 Tersqual Eel Kebab	4 Alluring Lophid Extract	2 Everfreeze Ore																				
Overdrive: Gain TP XV	Gain 375 TP when Overdrive activated	6 Flowering Germivore Scales	6 Tersqual Eel Kebab	6 Alluring Lophid Extract	4 Foucaultium																				
Overdrive: Gain TP XX	Gain 500 TP when Overdrive activated	12 Flowering Germivore Scales	12 Tersqual Eel Kebab	12 Alluring Lophid Extract	8 Bonjelium																				
Extend Overdrive I	Overdrive time extended +3s	1 Unfertilized Auravis Egg	1 Silver Progen Wing	1 Terebra Paw Stamp	1 White Cometite																				
Extend Overdrive V	Overdrive time extended +7s	2 Unfertilized Auravis Egg	2 Silver Progen Wing	2 Terebra Paw Stamp	1 Dawnstone																				
Extend Overdrive X	Overdrive time extended +12s	4 Unfertilized Auravis Egg	4 Red Brandy	4 Fine Red Belt	4 Everfreeze Ore																				
Extend Overdrive XV	Overdrive time extended +17s	6 Unfertilized Auravis Egg	6 Red Brandy	6 Fine Red Belt	6 Foucaultium																				
Extend Overdrive XX	Overdrive time extended +25s	12 Unfertilized Auravis Egg	12 Red Brandy	12 Fine Red Belt	12 Bonjelium																				
Extend Aura I	Aura duration +1s	1 Turba Nectar	1 Meaty Evello Egg	-	1 Aurorite																				
Extend Aura V	Aura duration +5s	4 Turba Nectar	4 Meaty Evello Egg	-	2 Infernium																				
Extend Aura X	Aura duration +10s	12 Turba Nectar	12 Vigent Blood	-	4 Cimmerian Cinnabar																				
Extend Aura XV	Aura duration +15s	24 Turba Nectar	24 Vigent Blood	-	8 Ouroboros Crystal																				
Extend Aura XX	Aura duration +20s	48 Turba Nectar	48 Vigent Blood	-	16 Parhelion Platnium																				
Aura Rapid Cooldown I	Arts recast 1% faster during aura 	1 Reinforced Jet	1 Terebra Oil Grease	1 Cloudy Gerrid Soup	1 White Cometite																				
Aura Rapid Cooldown V	Arts recast 5% faster during aura 	2 Reinforced Jet	2 Terebra Oil Grease	2 Cloudy Gerrid Soup	1 Dawnstone																				
Aura Rapid Cooldown X	Arts recast 10% faster during aura 	8 Reinforced Jet	8 Quality Vigent Claw	8 Millesaur Larynx	2 Everfreeze Ore																				
Aura Rapid Cooldown XV	Arts recast 15% faster during aura 	16 Reinforced Jet	16 Quality Vigent Claw	16 Millesaur Larynx	4 Foucaultium																				
Aura Rapid Cooldown XX	Arts recast 20% faster during aura 	32 Reinforced Jet	32 Quality Vigent Claw	32 Millesaur Larynx	8 Bonjelium																				
Aura: Refuel I	Gain 10 Skell fuel when aura used	1 Energy Tube	-	-	1 Arc Sand Ore																				
Aura: Refuel V	Gain 18 Skell fuel when aura used	2 Energy Tube	-	-	1 Lionbone Bort																				
Aura: Refuel X	Gain 28 Skell fuel when aura used	3 Energy Tube	-	-	1 Enduron Lead																				
Aura: Refuel XV	Gain 38 Skell fuel when aura used	4 Energy Tube	-	-	1 Boiled-Egg Ore																				
Aura: Refuel XX	Gain 50 Skell fuel when aura used	5 Energy Tube	-	-	1 Marine Rutile																				
Extend Taunt I	Taunt duration from arts +5s	1 Small Insect Leg	-	-	1 Arc Sand Ore																				
Extend Taunt V	Taunt duration from arts +9s	2 Small Insect Leg	-	-	1 Lionbone Bort																				
Extend Taunt X	Taunt duration from arts +14s	3 Small Insect Leg	-	-	1 Enduron Lead																				
Extend Taunt XV	Taunt duration from arts +19s	4 Small Insect Leg	-	-	1 Boiled-Egg Ore																				
Extend Taunt XX	Taunt duration from arts +25s	5 Small Insect Leg	-	-	1 Marine Rutile																				
Extend Control I	Control duration from arts +1s	1 Taut Leather	-	-	1 Arc Sand Ore																				
Extend Control V	Control duration from arts +5s	2 Taut Leather	-	-	1 Lionbone Bort																				
Extend Control X	Control duration from arts +10s	3 Taut Leather	-	-	1 Enduron Lead																				
Extend Control XV	Control duration from arts +15s	4 Taut Leather	-	-	1 Boiled-Egg Ore																				
Extend Control XX	Control duration from arts +20s	5 Taut Leather	-	-	1 Marine Rutile																				
Extend Virus I	Virus duration from arts +1s	1 Small Insect Leg	-	-	1 Arc Sand Ore																				
Extend Virus V	Virus duration from arts +5s	2 Small Insect Leg	-	-	1 Lionbone Bort																				
Extend Virus X	Virus duration from arts +10s	3 Small Insect Leg	-	-	1 Enduron Lead																				
Extend Virus XV	Virus duration from arts +15s	4 Small Insect Leg	-	-	1 Boiled-Egg Ore																				
Extend Virus XX	Virus duration from arts +20s	5 Small Insect Leg	-	-	1 Marine Rutile																				
Extend Blackout I	Blackout duration from arts +1s	1 Ovis Polishing Stone	-	-	1 Arc Sand Ore																				
Extend Blackout V	Blackout duration from arts +5s	2 Ovis Polishing Stone	-	-	1 Lionbone Bort																				
Extend Blackout X	Blackout duration from arts +10s	3 Ovis Polishing Stone	-	-	1 Enduron Lead																				
Extend Blackout XV	Blackout duration from arts +15s	4 Ovis Polishing Stone	-	-	1 Boiled-Egg Ore																				
Extend Blackout XX	Blackout duration from arts +20s	5 Ovis Polishing Stone	-	-	1 Marine Rutile																				
Extend Fatigue I	Fatigue duration from arts +1s	1 Broken Pincer	-	-	1 Arc Sand Ore																				
Extend Fatigue V	Fatigue duration from arts +5s	2 Broken Pincer	-	-	1 Lionbone Bort																				
Extend Fatigue X	Fatigue duration from arts +10s	3 Broken Pincer	-	-	1 Enduron Lead																				
Extend Fatigue XV	Fatigue duration from arts +15s	4 Broken Pincer	-	-	1 Boiled-Egg Ore																				
Extend Fatigue XX	Fatigue duration from arts +20s	5 Broken Pincer	-	-	1 Marine Rutile																				
Extend Slow Arts I	Slow Arts duration from arts +1s	1 Supple Leather	-	-	1 Arc Sand Ore																				
Extend Slow Arts V	Slow Arts duration from arts +5s	2 Supple Leather	-	-	1 Lionbone Bort																				
Extend Slow Arts X	Slow Arts duration from arts +10s	3 Supple Leather	-	-	1 Enduron Lead																				
Extend Slow Arts XV	Slow Arts duration from arts +15s	4 Supple Leather	-	-	1 Boiled-Egg Ore																				
Extend Slow Arts XX	Slow Arts duration from arts +20s	5 Supple Leather	-	-	1 Marine Rutile																				
Extend Debuff Res Down I	Debuff Res Down duration from arts +1s	1 Lovely Pom Pom	-	-	1 Arc Sand Ore																				
