Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Garnet Forfex	Forfex	Insectoid	Noctilum	212,219	11~20	76~131	8871~18879	193~338	131~150	157~276	126~144	175~307	31~47	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Ruby Forfex	Forfex	Insectoid	Noctilum	209,210	21~30	141~232	19989~34049	376~554	152~183	307~453	147~178	342~504	49~76	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Iron Cinicula	Cinicula	Insectoid	Noctilum	202,208	41~50	852~1176	331183~400734	1185~1536	197~228	1185~1536	192~223	988~1280	79~97	35/0/-25/-25/0/0		Honey Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Falchion, the Vibrant	Cinicula	Insectoid	Noctilum	208S	30	828	456980	846	174	846	169	705	57	40/5/-20/-20/5/5		Melon Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	---	---	Y
Rock Cinicula	Cinicula	Insectoid	Noctilum	208,218	21~30	336~552	119236~203109	547~806	137~166	547~806	133~161	456~672	35~55	35/0/-25/-25/0/0		Honey Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Star Cinicula	Cinicula	Insectoid	Noctilum	212,218	11~20	60~104	8784~18694	154~270	118~135	154~270	114~131	128~225	22~34	35/0/-25/-25/0/0		Melon Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	---	---
Ghillie Falsaxum	Falsaxum	Insectoid	Noctilum	203,Vitriol Cesspool	31~40	576~816	211812~296509	875~1195	173~199	805~1099	168~195	700~956	52~69	35/0/-25/-25/0/0		Gremlin Stone	Thick Falsaxum Horn	Giant Falsaxum Jaw	Falsaxum Shell	Refined Horn	Lead Carapace	---		---	SA - Sk	2	---
Clemente, the Iron Meteor	Falsaxum	Insectoid	Noctilum	225NW	22	540	283464	630	150	579	145	504	35	40/5/-20/-20/5/5		Gremlin Stone	Thick Falsaxum Horn	Giant Falsaxum Jaw	Falsaxum Shell	Refined Horn	Lead Carapace	---		---	SA - Sk	2	---	Y
Mirage Vivohast	Vivohast	Insectoid	Noctilum	225(hi)	31~40	282~400	39813~55734	577~788	182~210	525~717	173~200	525~717	79~103	35/0/-25/-25/0/0		Moving Vivohast Tail	Sharp Vivohast Jaw	Vivohast Crescent Hook	Pristine Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Echo Thallus	Thallus	Insectoid	Noctilum	220N on tree	11~20	88~153	9947~21168	184~322	125~143	184~322	123~141	175~307	31~47	35/0/-25/-25/0/0		Moving Thallus Tail	Black Thallus Antenna	Thallus Crescent Hook	Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Fake Thallus	Thallus	Insectoid	Noctilum	214,225	21~30	165~270	22412~38178	359~529	145~175	359~529	143~74	342~504	49~76	35/0/-25/-25/0/0		Moving Thallus Tail	Black Thallus Antenna	Thallus Crescent Hook	Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Cunning Thallus	Thallus	Insectoid	Noctilum	224	41~50	417~576	62251~75324	778~1008	208~240	778~1008	208~240	741~960	106~135	35/0/-25/-25/0/0		Moving Thallus Tail	Black Thallus Antenna	Thallus Crescent Hook	Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Pizelle, the Purple Lightning	Thallus	Insectoid	Noctilum	214N	40	598	125402	790	215	790	215	752	108	40/5/-20/-20/5/5		Moving Thallus Tail	Black Thallus Antenna	Thallus Crescent Hook	Insect Jaw	Sticky Mucus	---	---		〇	---	---	---	Y
Hermit Tectinsula	Tectinsula	Insectoid	Noctilum	216,219,221	11~20	84~146	9405~20015	210~369	112~128	193~338	108~124	175~307	35~53	45/0/-25/-25/0/0		Orange Tequila	Tectinsula Back Moss	Tectinsula Shell	Luminescent Antenna	Dried Seaweed Lichen	Viscous Humour	---		---	SA - M	---	---
Negator Tectinsula	Tectinsula	Insectoid	Noctilum	216	21~30	157~258	21191~36097	410~604	130~157	376~554	126~153	342~504	55~85	45/0/-25/-25/0/0		Orange Tequila	Tectinsula Back Moss	Tectinsula Shell	Luminescent Antenna	Dried Seaweed Lichen	Viscous Humour	---		---	SA - M	---	---
Silhouette Tectinsula	Tectinsula	Insectoid	Noctilum	205	31~40	269~381	37644~52696	630~860	160~184	577~788	155~180	525~717	88~115	45/0/-25/-25/0/0		Orange Tequila	Tectinsula Back Moss	Tectinsula Shell	Luminescent Antenna	Dried Seaweed Lichen	Viscous Humour	---		---	SA - M	---	---
Stealth Tectinsula	Tectinsula	Insectoid	Noctilum	216	41~50	398~549	58859~71219	889~1152	187~216	815~1056	182~211	741~960	118~150	45/0/-25/-25/0/0		Orange Tequila	Tectinsula Back Moss	Tectinsula Shell	Luminescent Antenna	Dried Seaweed Lichen	Viscous Humour	---		---	SA - M	---	---
Alfombra, the Transcendent	Tectinsula	Insectoid	Noctilum	221	14	151	27199	277	124	254	119	229	41	55/5/-20/-20/5/5		Orange Tequila	Tectinsula Back Moss	Tectinsula Shell	Luminescent Antenna	Dried Seaweed Lichen	Viscous Humour	---		---	SA - M	---	---	Y
Joker, the Unknowable	Blatta	Insectoid	Noctilum	206 - Inside the Giant Flower	90	1320	283490	2029	378	2029	372	2137	299	25/5/-20/-20/5/5		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---	Y
Muruse, the Opulent	Blatta	Insectoid	Noctilum	Vitriol Cesspool - Secret passage by the wall in poisoned water	56~60	1063~1191	121475~129871	785~861	277~294	785~861	271~288	785~861	200~219	25/5/-20/-20/5/5		Gold Ingot	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
Yuiro, the Luxuriant	Blatta	Insectoid	Noctilum	211S - Burrows out on a ledge below the gap between the two roads	51~55	925~1035	110979~119376	690~766	256~273	690~766	250~267	690~766	177~196	25/5/-20/-20/5/5		Gold Ingot	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
Blitz Blatta	Blatta	Insectoid	Noctilum	222,Whale's Nostril	11~20	22~37	6393~13605	105~184	125~143	105~184	120~138	117~205	35~53	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Ogre Blatta	Blatta	Insectoid	Noctilum	224	21~30	40~66	14405~24538	205~302	145~175	205~302	140~170	228~336	55~85	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Logi Blatta	Blatta	Insectoid	Noctilum	216SE(lo),222E,Vitriol Cesspool	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Prairie Blatta	Blatta	Insectoid	Noctilum	[19:00~5:00]: 211S	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Raven Blatta	Blatta	Insectoid	Noctilum	210S	31~40	69~98	25589~35822	332~454	178~205	332~454	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Magus Blatta	Blatta	Insectoid	Noctilum	211S,Vitriol Cesspool	41~50	102~141	40011~48413	469~608	208~240	469~608	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Squall Blatta	Blatta	Insectoid	Noctilum	206 - Inside the Giant Flower	51~60	145~187	49346~57746	592~738	244~280	592~738	239~275	658~820	154~190	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Sturdy Blatta	Blatta	Insectoid	Noctilum	216,220N	21~30	40~66	14405~24538	216~319	145~175	216~319	140~170	228~336	55~85	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Dove Turba	Turba	Insectoid	Noctilum	205,217,222	11~20	48~83	7314~15565	128~225	128~146	122~214	120~138	128~225	35~54	35/0/-25/-25/0/-25		Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Lark Turba	Turba	Insectoid	Noctilum	217	31~40	154~218	29274~40981	385~525	182~210	365~499	173~200	385~525	89~117	35/0/-25/-25/0/-25		Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Kite Turba	Turba	Insectoid	Noctilum	216	41~50	227~314	45773~55386	543~704	213~246	516~668	203~235	543~704	120~153	35/0/-25/-25/0/-25		Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Tormenta, the Scarlet-Clad	Turba	Insectoid	Noctilum	216	41	341	102963	570	223	541	213	570	126	40/5/-20/-20/5/-20		Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---	Y
Indigo Turba	Turba	Insectoid	Noctilum	204	11~20	48~83	7314~15565	128~225	128~146	122~214	120~138	128~225	35~54	35/0/-25/-25/0/-25		Black Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Forest Adsecula	Adsecula	Insectoid	Noctilum	204,215,218,220	11~20	29~50	6216~13230	122~214	125~143	122~214	120~138	128~225	35~55	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Tree Adsecula	Adsecula	Insectoid	Noctilum	216SE(lo)	41~50	227~314	45773~55386	516~668	208~240	516~668	203~235	543~704	123~157	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Sacrum, the Noctilucent	Papil	Insectoid	Noctilum	[19:00~5:00]: Whale's Weeper	50	282	105897	702	252	739	258	739	160	40/5/-20/-20/5/-20		Flowering Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---	Y
Copper Papil	Papil	Insectoid	Noctilum	[5:00~19:00]: 210(hi),211	21~30	90~147	16479~28072	238~351	145~175	250~369	147~178	250~369	56~86	35/0/-25/-25/0/-25		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
Bronze Papil	Papil	Insectoid	Noctilum	[5:00~19:00]: 214N,225(hi)	31~40	92~131	24882~34833	365~499	178~205	385~525	181~210	385~525	89~117	35/0/-25/-25/0/-25		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
Violet Germivore	Germivore	Insectoid	Noctilum	220NW(lo)	1~10	9~25	1019~5813	29~102	99~116	29~102	95~112	31~108	16~36	35/0/-25/-25/0/0		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Cobalt Germivore	Germivore	Insectoid	Noctilum	217SE	11~20	27~47	6393~13605	111~194	118~135	111~194	114~131	117~205	38~58	35/0/-25/-25/0/0		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Canary Germivore	Germivore	Insectoid	Noctilum	224	31~40	86~122	25589~35822	332~454	168~194	332~454	164~190	350~478	98~126	35/0/-25/-25/0/0		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Terrible Germivore	Germivore	Insectoid	Noctilum	214N,212	21~30	50~83	14405~24538	216~319	137~166	216~319	133~161	228~336	60~93	35/0/-25/-25/0/0		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Minor Sabula	Sabula	Insectoid	Noctilum	211	21~30	112~184	23265~39631	300~443	159~192	275~406	175~212	250~369	13~21	35/0/-25/-25/0/0		Sabula Backbone	Nutritious Microbes	Scratched Jewel	---	---	---	---		〇	---	---	---
Balduino, the Wicked-Eyed	Aeviter	Insectoid	Noctilum	206SE	89	5089	1501377	3092	376	3375	446	3375	298	40/5/-20/-20/5/5		Aeviter Death Stone	Aeviter Membrane	Active Cells	Gooey Gunge	---	---	---		〇	GG - Sk	---	---	Y
Crazed Aeviter	Aeviter	Insectoid	Noctilum	206SE	51~70	622~1047	80893~109967	1085~1646	244~290	1184~1796	286~342	1184~1796	154~200	35/0/-25/-25/0/0		Aeviter Death Stone	Aeviter Membrane	Active Cells	Gooey Gunge	---	---	---		〇	GG - Sk	---	---
Lake Mortifole	Mortifole	Insectoid	Noctilum	222	11~20	36~62	6765~14397	122~214	125~143	135~236	126~144	128~225	35~53	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Gardener Mortifole	Mortifole	Insectoid	Noctilum	[5:00~19:00]: 215,220	21~30	112~184	17933~30549	238~351	145~175	263~388	147~178	250~369	55~85	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Native Mortifole	Mortifole	Insectoid	Noctilum	[5:00~19:00]: 216	41~50	284~392	49812~60273	516~668	208~240	570~739	213~246	543~704	118~150	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Yessenia, the Husky-Voiced	Mortifole	Insectoid	Noctilum	221	23	192	44962	276	156	305	158	291	61	40/5/-20/-20/5/-20		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---	Y
Grotto Mortifole	Mortifole	Insectoid	Noctilum	204,211(hi),219,221	11~20	60~104	7959~16938	122~214	125~143	144~253	132~151	128~225	30~46	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	White Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Crusher Mortifole	Mortifole	Insectoid	Noctilum	205,208,221SW	31~40	192~272	31857~44597	365~499	178~205	432~591	190~220	385~525	77~100	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	White Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Katerina, the Cliffhanger	Mortifole	Insectoid	Noctilum	212W	48	552	130368	664	243	786	262	699	130	40/5/-20/-20/5/-20		Shiny Mortifole Seed	Mortifole Pollen	White Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---	Y
Mirage Mortifole	Mortifole	Insectoid	Noctilum	212W	41~50	284~392	49812~60273	516~668	208~240	570~739	213~246	543~704	118~150	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Green Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Origin Mortifole	Mortifole	Insectoid	Noctilum	209	1~10	12~34	1078~6151	32~112	105~123	35~124	105~123	34~118	15~33	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Numb Mortifole	Mortifole	Insectoid	Noctilum	205,216	21~30	112~184	17933~30549	238~351	145~175	282~415	154~187	250~369	48~74	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	White Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Scarlet Levitath	Levitath	Insectoid	Noctilum	[19:00~5:00]: 208NW,222NW	41~50	852~1176	371471~449604	938~1216	197~228	1136~1472	203~235	988~1280	118~150	35/0/-25/-25/0/-25		Sparkling Red Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---
Antares Levitath	Levitath	Insectoid	Noctilum	[19:00~5:00]: 222E	51~60	1212~1560	458263~536274	1250~1558	231~266	1513~1866	239~275	1316~1640	154~190	35/0/-25/-25/0/-25		Sparkling Red Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---
Frajeel, the Purgatorial	Levitath	Insectoid	Noctilum	206 - Flying around the Giant Flower	50	2646	1685340	1914	239	2317	246	2016	157	40/5/-20/-20/5/-20		Sparkling Red Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---	Y
Shuravas, the Enraged	Millepod	Insectoid	Noctilum	211 (Thunderstorm)	65	5262	2702829	3405	299	3405	294	2724	204	50/15/-10/-10/15/-10		Reverse Millepod Fin	Yellow Millepod Rock	Decrepit Wing	Fossilized Bone	Sturdy Drakebone	---	---		*	OR - H	5	---	Y
Tidal Purgovent	Purgovent	Piscinoid	Noctilum	Vitriol Cesspool,whitetrees	31~40	518~734	227310~318205	787~1075	173~199	682~932	164~190	700~956	99~129	0/0/-25/0/-50/-25		Large Purgovent Liver	Strong Purgovent Extract	Smooth Tail Fin	Purgovent Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	ME - M	5	---
Electric Scintimure	Scintimure	Piscinoid	Noctilum	rootycave	11~20	80~138	11275~23995	171~299	150~171	188~330	144~165	175~307	37~56	0/-50/-25/0/10/-25		Rich Scintimure Meat	Red Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Callous Scintimure	Scintimure	Piscinoid	Noctilum	202	41~50	809~1117	339261~410508	963~1248	249~288	1062~1376	243~282	988~1280	126~161	0/-50/-25/0/10/-25		Rich Scintimure Meat	Red Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Beach Xiphias	Xiphias	Piscinoid	Noctilum	203,isle S of 209	11~20	51~88	8605~18312	115~202	125~143	128~225	111~127	128~225	38~58	0/0/-25/0/-50/-25		Xiphias Mine Egg	Sapphire Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Ocean Xiphias	Xiphias	Piscinoid	Noctilum	216SE(lo),218	41~50	241~333	53851~65160	489~633	208~240	543~704	187~217	543~704	129~165	0/0/-25/0/-50/-25		Xiphias Mine Egg	Sapphire Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Lunar Ceto	Ceto	Piscinoid	Noctilum	[19:00~5:00]: 210N,221	41~50	895~1235	780839~944820	1926~2496	234~270	1778~2304	233~370	1482~1920	106~135	0/0/-25/0/-50/-25		Ceto Roe	Unlucky Black Whisker	Gold Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---
Selenic Ceto	Ceto	Piscinoid	Noctilum	[19:00~5:00]: 212	51~60	1273~1638	963017~1126954	2566~3198	274~315	2368~2952	274~315	1974~2460	138~171	0/0/-25/0/-50/-25		Ceto Roe	Unlucky Black Whisker	Gold Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---
Spring Unafulge	Unafulge	Piscinoid	Noctilum	Whale's Nostril	11~20	27~47	7314~15565	115~202	128~146	115~202	123~141	128~225	37~56	0/0/-25/0/-50/-25		Unafulge Numbing Toxin	Steel Unafulge Cell	Transparent Membrane	Opaque Membrane	---	---	---		〇	---	---	---
Drifter Unafulge	Unafulge	Piscinoid	Noctilum	[19:00~5:00]: 207	31~40	144~204	34441~48213	346~473	182~210	346~473	177~205	385~525	94~123	0/0/-25/0/-50/-25		Unafulge Numbing Toxin	Steel Unafulge Cell	Transparent Membrane	Opaque Membrane	---	---	---		〇	---	---	---
Planetes, the Torrential	Unafulge	Piscinoid	Noctilum	207NW - Behind the mountain	50	615	183262	905	258	905	252	1007	169	5/5/-20/5/-45/-20		Unafulge Numbing Toxin	Steel Unafulge Cell	Transparent Membrane	Opaque Membrane	---	---	---		〇	---	---	---	Y
Spore Filiavent	Filiavent	Piscinoid	Noctilum	[19:00~5:00]: 221SE	51~60	1212~1560	577810~676172	1314~1638	244~280	1741~2170	262~302	1314~1638	154~190	0/0/-25/0/-50/-25		Filiavent Intestine	Giant Protein	Red Filiavent Tentacle	Quality Skin	Mollusk Mucus	---	---		---	CC - H	---	---
Tainted Scintimure	Tainted	Piscinoid	Noctilum	214NE	21~30	319~524	127960~217971	456~672	137~166	513~756	140~175	456~672	57~89	0/-50/-25/0/10/-25		Rich Scintimure Meat	Black Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Marnuck Support	Marnuck	Humanoid	Noctilum	210NW	11~20	34~59	7314~15565	128~225	131~150	117~205	120~138	117~205	35~53	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Recon	Marnuck	Humanoid	Noctilum	225NW	11~20	36~62	7675~16334	134~235	134~153	117~205	120~138	117~205	35~53	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Pyotr, the Shepherd	Sylooth	Humanoid	Noctilum	202	74	6696	1981515	2782	279	2461	260	2140	102	30/-10/50/30/30/30		Sylooth Tonic Water	Gold Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---	Y
Goliath Sylooth	Sylooth	Humanoid	Noctilum	222E	41~50	1022~1411	452348~547344	1284~1664	197~228	1136~1472	182~211	388~1280	59~75	0/-25/10/0/0/0		Sylooth Tonic Water	Blue Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---
Brobdingnagian Sylooth	Sylooth	Humanoid	Noctilum	204NE,208	51~60	1454~1872	557886~652856	1710~2132	231~266	1513~1886	215~247	1316~1640	77~95	0/-25/10/0/0/0		Sylooth Tonic Water	Blue Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---
Yama, the Obliviator	Sylooth	Humanoid	Noctilum	220S	33	1123	705726	1031	183	912	169	793	49	5/-20/100/5/5/5		Sylooth Tonic Water	Blue Sylooth Brace	Quality Giant Cells	Distilled Sap	White Fungal Egg	---	---		---	SA - H	12	---	Y
Blood-king Gelvo Banth	Prone	Humanoid	Noctilum	The King of Fear	40	163	49177	525	215	454	190	478	103	0/-25/10/0/0/0		---	---	---	---	---	---	---					
Prone Rampager	Prone	Humanoid	Noctilum	211NE	21~30	67~110	19775~33686	250~369	152~183	216~319	133~161	228~336	49~76	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Owl	Prone	Humanoid	Noctilum	211NE	21~30	67~110	19775~33686	250~369	152~183	216~319	133~161	228~336	49~76	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Eagle	Prone	Humanoid	Noctilum	222NE	41~50	170~235	54928~66463	543~704	218~252	469~608	192~223	494~640	106~135	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Slayer	Prone	Humanoid	Noctilum	211NE	21~30	67~110	19775~33686	250~369	152~183	216~319	133~161	228~336	49~76	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Bully	Prone	Humanoid	Noctilum	222NE	41~50	170~235	54928~66463	543~704	218~252	469~608	192~223	494~640	106~135	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Vix Prisoner	Prone	Humanoid	Noctilum	211NE	21~30	64~105	17294~29459	228~336	145~175	239~352	147~178	273~403	52~80	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Prone Judge	Prone	Humanoid	Noctilum	222NE	41~50	170~235	54928~66463	543~704	218~252	469~608	192~223	494~640	106~135	0/-25/10/0/0/0		Prone Coin Purse	Fine Black Belt	Broken Buckle	---	---	---	---		---	GG - M	---	---
Goetia	Ganglion Command	Humanoid	Noctilum	Chapter 4, Time Attack	16	288	39088	165	148	165	143	198	46	10/-10/35/-20/80/0		Goetia's Black Heel	Scienti Glyph	Electrified Xeno Blood	---	---	---	---					
Border Puge	Puge	Mechanoid	Noctilum	210NW	21~30	71~116	17294~29459	228~336	152~183	228~336	147~178	228~336	57~89	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Fighter Pugilith	Pugilith	Mechanoid	Noctilum	210NW	21~30	165~270	27870~47473	358~528	137~166	374~553	140~170	340~502	49~76	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	New Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	18	---
